FGEV,Gießen Europaviertel,Anst
FGF,Gießen Flughafen,Tp
FGFD,Gersfeld (Rhön),Bf
FGFDA,Gersfeld (Rhön),Anst
FGFL,Gießen Anschluß Flughafen,Anst
FGGB,Gettenau-Bingenheim,Hp
FGHF,Götzenhof,Bf
FGHM,Gernsheim,Bf
FGHO,Gensingen-Horrweiler,Bf
FGIL,Gilserberg,Bf
FGIM,Gimbsheim,Anst
FGIR,Girod,Hp
FGK,Großkrotzenburg,Bf
FGKA,Groß Karben,Bf
FGL,Großen Linden,Bf
FGLA,Gladenbach,Bf
FGLD,Göllheim-Dreisen,Tp
FGLR,Großenlüder,Bf
FGLRI,Großenlüder,Anst
FGLRR,Großenlüder,Anst
FGM,Frankfurt-Griesheim,Bf
FGM H,Frankfurt-Griesheim Übergabebf,Bft
FGN,Gönnern (Kr Biedenkopf),Tp
FGOE,Göbelnrod,Hp
FGOF,Goßfelden,Hp
FGOG,Gießen Oswaldsgarten,Hp
FGOR,Rödermark RWE Götzenhain,Anst
FGOZ,Dreieich-Götzenhain,Hp Anst
FGR,Grävenwiesbach,Bf
FGRB,Großen Buseck,Bf
FGRD,Griedel,Bf
FGRF,Grifte,Bf
FGRG,Grünberg (Oberhess),Bf
FGRGB,Grünberg (Oberhess) Busbf,Bush
FGRI,Großen Buseck Industriestammgleis,Awanst
FGRK,Gräveneck,Bf
FGRN,Gronau (Hess Nass),Hp
FGRO,Groß Rohrheim,Bf
FGRS,Grund Schwalheim,Anst
FGRT,Großen Buseck Schwabfrucht,Awanst
FGRU,Groß Umstadt,Bf
FGSM,Geisenheim,Bf
FGSN,Grebenstein,Bf
FGTB,Gertenbach,Hp
FGTH,Guntershausen,Bf
FGUB,Guntersblum,Bf
FGUH,Gundersheim (Rheinhess),Hp
FGUR,Gutleuthof,Abzw
FGUS,Groß-Umstadt Gustav-Hacker-Siedlung,Hp
FGW,Großalmerode West,Bf
FGX,Guxhagen,Bf
FGZ,Groß-Zimmern,Tp
FH,Hanau Hbf,Bf
FH 1,Hanau (Est),Est
FH G,Hanau Hbf Gerätelager,Bft
FH H,Hanau Hbf vor Haus Nr 14,Bush
FH M,Hanau Mainbrücke,Bft
FH N,Hanau Norseite,Bft
FH S,Hanau Südseite,Bft
FHAB,Hasselbach,Tp
FHAD,Hadamar,Bf
FHAE,Hähnlein-Alsbach,Hp
FHAG,Neuhof Hartberg,Üst
FHAH,Hattenbach,Üst
FHAI,Haitz-Höchst,Hp
FHAN,Haine,Tp
FHAR,Hartenrod (Kr Biedenkopf),Bf
FHAS,Hattersheim (Main),Bf
FHAT,Hattenheim,Bf
FHAU,Frankfurt (Main) Hauptwache,Bf
FHBG,Herrnberg (Dillkr),Tp
FHBH,Heimboldshausen,Bf
FHBK,Heimboldshausen Kreisbahn,Bf
FHBN,Herbstein,Bf
FHBR,Heusenstamm Brückenmeisterei,Anst
FHBS,Halbs,Tp
FHC,Hoheneiche,Bf
FHD,Maintal Ost,Bf
FHDA,Haueda,Tp
FHDT,Hainstadt (Kr Offenbach),Bf
FHEB,Heinebach,Bf
FHED,Hedemünden,Bf
FHEDM,Hedemünden Mündener Str.,Bush
FHEH,Heckershausen,Hp
FHEI,Heidesheim (Rheinhess),Hp Anst
FHER,Hergershausen,Hp
FHET,Hetschbach,Hp
FHEU,Heusenstamm,Anst
FHEUP,Heusenstamm,Anst
FHF,Hofheim (Taunus),Bf
FHFG,Hofgeismar,Bf
FHG,Haiger,Bf
FHGH,Höringhausen,Hp
FHGO,Haiger Obertor,Hp Bft
FHH,Hettenhausen,Hp
FHHF,Häuserhof,Hp
FHHN,Hainhausen,Hp
FHID,Hillesheim-Dorndürkheim,Anst
FHIL,Hilders (Rhön),Bf
FHIR,Hirzenhain (Dillkr),Tp
FHIZ,Hirzenhain (Oberhess),Bf
FHL,Hasselborn,Hp
FHLI,Hessisch Lichtenau,Bf
FHLS,Hessisch Lichtenau Stadt,Bush
FHM,Hochheim (Main),Bf
FHMB,Hann Münden-Bursfelde,Slst
FHMD,Hann Münden,Bf
FHMDS,Hann Münden (Schiff),Slst
FHME,Hailer-Meerholz,Bf
FHMM,Hümme,Bf
FHMR,Hamm (Rheinhess),Anst
FHN,Hanau Nord,Bf
FHNB,Hönebach,Bf
FHNS,Hahnstätten,Bf
FHNW,Höhn (Westerw),Bf
FHO,Bad Homburg,Bf
FHO 1,Bad Homburg (Est),Est
FHOE,Frankfurt-Höchst,Bf
FHOEA,Frankfurt-Höchst Pbf/Gbf Ültg,Bft
FHOEB,Frankfurt-Höchst Schönbrunn,Anst
FHOEG,Frankfurt-Höchst Gbf,Bft
FHOES,Frankfurt-Höchst S-Bahn/Fernbahn,Bft
FHOF,Hoof (Kr Kassel),Bf
FHOG,Homberg (Kr Alsfeld),Anst
FHOH,Holzhausen (Eder),Bf
FHOM,Homberg (Bz Kassel),Anst
FHOR,Hofheim (Ried),Bf
FHOW,Holzhausen (Kr Wetzlar),Tp
FHP,Heppenheim (Bergstr),Bf
FHR,Hergenroth (Westerw),Tp
FHRB,Herborn (Dillkr),Bf
FHRG,Heringen (Werra),Bf
FHRS,Harmuthsachsen,Tp
FHS,Hausen (Taunus),Hp
FHSA,Helsa,Bf
FHST,Hohenstein (Nass),Bf
FHSU,Hohensülzen,Hp
FHT,Höchst (Odenw),Bf
FHTN,Höchst (Nidder),Hp
FHTZ,Hatzfeld (Eder),Anst
FHUE,Hünfeld,Bf
FHUES,Hünfeld Stadt,Anst
FHUG,Hungen,Bf
FHUG1,Hungen (Est),Est
FHUN,Hundstadt,Hp
FHW,Hanau West,Hp Anst
FHWB,Hanau-Wilhelmsbad,Hp
FHWD,Heldenbergen-Windecken,Bf
FHWE,Hahn-Wehen,Museum
FHZ,Hetzbach,Hp
FHZN,Herzhausen,Anst
FIBR,Ibersheim,Anst
FIDS,Idstein (Taunus) (Üst),Üst
FIH,Ihringshausen,Bf
FIL,Ingelheim,Bf
FIM,Immenhausen,Bf
FIN,Inheiden,Hp
FIR,Itter,Tp
FIS,Igelstein,Awanst Bk
FIST,Idstein (Taunus),Bf
FJUE,Jügesheim,Bf
FK,Kassel Hbf,Bf
FK B,Kassel Busparkpl,Bush
FK L,Kassel Stw Klb,Bft
FKA,Katzenberg,Üst
FKAE,Kälberau,Bf
FKAH,Klein Auheim,Hp
FKAI,Kailbach,Hp
FKAS,Kaiserau,Üst
FKAT,Kattenbühl,Üst
FKAU,Kaub,Bf
FKAUS,Kaub (Schiff),Slst
FKB,Kerkerbach,Bf
FKBH,Kassel-Bettenhausen,Bf
FKBHB,Kassel-Bettenhausen,Anst
FKBS,Korbach Süd,Hp
FKBW,Kaiserbrücke,Abzw
FKBWO,Kaiserbrücke Ost,Abzw
FKCH,Kelsterbach,Bf
FKE,Kelkheim,Bf
FKEH,Kettenheim,Tp
FKEI,Keilsberg,Üst
FKEM,Kelkheim-Münster,Bf
FKES,Kestert,Bf
FKESS,Kestert (Schiff),Slst
FKET,Kettenbach,Bf
FKFH,Kassel Fuldahafen,Anst
FKFT,Katzenfurt,Hp
FKGE,Klein Gerau,Hp
FKGS,Kirch Göns,Hp
FKH,Kassel-Harleshausen,Hp
FKHA,Kirchheimbolanden Hartsteinwerk,Anst
FKHF,Kragenhof,Hp
FKHM,Kirchheim,Bf
FKHN,Königshofen,Bf
FKHO,Kelkheim-Hornau,Bf
FKI,Bad König,Bf
FKIH,Kirchhain (Bz Kassel),Bf
FKIL,Kilianstädten,Hp
FKBB,Kassel-Bettenhausen Bergmann,Anst
FKIN,Kinzenbach,Bf
FKIR,Kirchheimbolanden,Bf
FKIZ,Wiesbaden Kinzenberg,Abzw
FKLB,Kölbingen,Bush
FKLBS,Kassel Stw Klb,Bft
FKLE,Kleba,Tp
FKLM,Kahl (Main),Bf
FKLP,Kahl (Main) Privatb,Bf
FKLU,Klein Umstadt,Bf
FKM,Kraftsolms,Tp
FKMP,Kamp-Bornhofen,Bf
FKMPS,Kamp-Bornhofen (Schiff),Slst
FKNH,Kassel-Nordshausen,Bf
FKNZ,Kassel-Niederzwehren,Bf
FKO,Klein Ostheim,Bf
FKO,Kleinostheim,Bf
FKOA,Kassel-Oberzwehren (Abzw),Abzw
FKOB,Korbach,Bf
FKOB1,Korbach (Est),Est
FKOBB,Korbach Briloner Landstraße,Bush
FKOBI,Korbach,Anst
FKOBK,Korbach Am Kreisel,Bush
FKOBZ,Korbach Ziegelhütte,Bush
FKOE,Königstein (Taunus),Bf
FKON,Frankfurt (Main) Konstablerwache,Bf
FKOO,Kostheim Ost,Abzw
FKOS,Kostheim,Abzw
FKOT,Körle Ost Bbf,Bf
FKOZ,Kassel-Oberzwehren,Hp
FKP,Köppern,Bf
FKR,Kassel Rbf,Bf
FKR D,Dreibrücken,Bft
FKR N,Kassel Rbf Nord,Bft
FKR R,Kassel Rbf Abzw,Bft
FKR S,Kassel Rbf Süd,Bft
FKRB,Kassel Rbf Abzw Berg,Abzw
FKRI,Kriftel,Bf
FKRL,Körle,Bf
FKRO,Kronberg (Taunus),Bf
